edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources
EDGE,single_risk,all_concepts,34,0,82,0
EDGE,single_risk,all_concepts,25,0,22,0
EDGE,single_risk,all_concepts,12,0,49,0
EDGE,single_risk,all_concepts,35,0,75,0
EDGE,single_risk,all_concepts,1,0,26,0
EDGE,single_risk,problem_analysis,5,0,117,0
EDGE,single_risk,problem_analysis,20,0,30,0
EDGE,single_risk,problem_analysis,13,0,55,0
EDGE,single_risk,problem_analysis,8,0,61,0
EDGE,single_risk,problem_analysis,14,0,50,0
EDGE,single_risk,problem_analysis,11,0,55,0
EDGE,single_risk,problem_analysis,23,0,72,0
EDGE,single_risk,problem_analysis,25,0,176,0
EDGE,single_risk,problem_analysis,31,0,66,0
EDGE,single_risk,problem_analysis,12,0,190,0
EDGE,single_risk,problem_analysis,18,0,67,0
EDGE,single_risk,problem_analysis,26,0,46,0
EDGE,single_risk,problem_analysis,2,0,64,0
EDGE,single_risk,problem_analysis,16,0,99,0
EDGE,single_risk,problem_analysis,38,0,73,0
EDGE,single_risk,problem_analysis,21,0,34,0
EDGE,single_risk,problem_analysis,22,0,88,0
EDGE,single_risk,problem_analysis,0,0,153,0
EDGE,single_risk,problem_analysis,39,0,53,0
EDGE,single_risk,problem_analysis,32,0,107,0
EDGE,single_risk,problem_analysis,27,0,101,0
EDGE,single_risk,problem_analysis,28,0,53,0
EDGE,single_risk,problem_analysis,29,0,45,0
EDGE,single_risk,problem_analysis,19,0,48,0
EDGE,single_risk,problem_analysis,1,0,128,0
EDGE,single_risk,problem_analysis,4,0,39,0
EDGE,single_risk,problem_analysis,35,0,18,0
EDGE,single_risk,problem_analysis,24,0,56,0
EDGE,single_risk,problem_analysis,7,0,65,0
EDGE,single_risk,problem_analysis,15,0,18,0
EDGE,single_risk,problem_analysis,6,0,39,0
EDGE,single_risk,problem_analysis,30,0,26,0
EDGE,single_risk,problem_analysis,17,0,37,0
EDGE,single_risk,problem_analysis,10,0,74,0
EDGE,single_risk,problem_analysis,37,0,28,0
EDGE,single_risk,problem_analysis,3,0,20,0
