node_type,edge_config,mode,silhouette_mean,edge_validation_mean,n_clusters,path_length_mean
implementation_mechanism,0.9,single_risk,0.4539382755756378,0.9300991955801484,40.0,9.061804871181192
implementation_mechanism,0.9,monotonic,0.4507678002119064,0.930855730489816,40.0,10.24367435107054
implementation_mechanism,0.9,both,0.4616146087646484,0.9421216336556664,40.0,7.95841050681933
implementation_mechanism,0.95,unconstrained,0.4040181338787079,0.9968760147313428,40.0,12.097357787791616
implementation_mechanism,0.95,single_risk,0.422043889760971,0.998960800076743,40.0,6.793612533895752
implementation_mechanism,0.95,monotonic,0.4189316034317016,0.9985534338071922,40.0,10.725478060440498
implementation_mechanism,0.95,both,0.431873619556427,0.9991380460133196,40.0,6.745957711442786
validation_evidence,EDGE,unconstrained,0.4250119924545288,1.0,40.0,6.861790958825223
validation_evidence,EDGE,single_risk,0.4051278382539749,1.0,40.0,6.787356321839081
validation_evidence,EDGE,monotonic,0.4164203107357025,1.0,40.0,6.788245986064829
validation_evidence,EDGE,both,0.4112739711999893,1.0,40.0,6.739306899781455
validation_evidence,0.8,unconstrained,0.4495785981416702,0.5940520590953611,40.0,12.03663892599518
validation_evidence,0.8,single_risk,0.4800420701503753,0.6053372041401899,44.0,10.57770343067763
validation_evidence,0.8,monotonic,0.4860376715660095,0.6683121439562253,40.0,9.737096052456952
validation_evidence,0.8,both,0.4581232517957687,0.68410323301236,40.0,8.36536247763554
validation_evidence,0.85,unconstrained,0.4338901937007904,0.7246374583877481,40.0,13.599068075657982
validation_evidence,0.85,single_risk,0.4436255842447281,0.7260656702670998,40.0,11.21277298240649
validation_evidence,0.85,monotonic,0.4241286963224411,0.7758793891974453,40.0,10.148250165198064
validation_evidence,0.85,both,0.4279445856809616,0.7716943197814028,40.0,8.661824196767292
validation_evidence,0.9,unconstrained,0.4451750963926315,0.9349955120946462,40.0,14.317058738183093
validation_evidence,0.9,single_risk,0.3993701189756393,0.956335510079628,40.0,9.061804871181192
validation_evidence,0.9,monotonic,0.4304598271846771,0.9450571265007166,40.0,10.24367435107054
validation_evidence,0.9,both,0.4315672814846039,0.954172718991059,40.0,7.95841050681933
validation_evidence,0.95,unconstrained,0.4048812985420227,0.9983493278735384,40.0,12.097357787791616
validation_evidence,0.95,single_risk,0.4097686856985092,0.9987595628201856,40.0,6.793612533895752
validation_evidence,0.95,monotonic,0.4061005562543869,0.9980847218988108,40.0,10.725478060440498
validation_evidence,0.95,both,0.4005654454231262,0.9991147468325192,40.0,6.745957711442786
