edge_config,mode,cluster_id,cluster_size,n_interventions,design_count,training_count,deployment_count,design_pct,training_pct,deployment_pct,dominant_stage
EDGE,single_risk,18,99,99,18,18,63,0.18181818181818182,0.18181818181818182,0.6363636363636364,Deployment
EDGE,single_risk,3,195,195,9,7,179,0.046153846153846156,0.035897435897435895,0.9179487179487179,Deployment
EDGE,single_risk,8,106,106,13,4,89,0.12264150943396226,0.03773584905660377,0.839622641509434,Deployment
EDGE,single_risk,33,10,10,9,0,1,0.9,0.0,0.1,Design
EDGE,single_risk,6,81,81,41,33,7,0.5061728395061729,0.4074074074074074,0.08641975308641975,Design
EDGE,single_risk,1,44,44,1,1,42,0.022727272727272728,0.022727272727272728,0.9545454545454546,Deployment
EDGE,single_risk,13,180,180,7,4,169,0.03888888888888889,0.022222222222222223,0.9388888888888889,Deployment
EDGE,single_risk,27,27,27,23,3,1,0.8518518518518519,0.1111111111111111,0.037037037037037035,Design
EDGE,single_risk,21,27,27,5,1,21,0.18518518518518517,0.037037037037037035,0.7777777777777778,Deployment
EDGE,single_risk,11,47,47,17,1,29,0.3617021276595745,0.02127659574468085,0.6170212765957447,Deployment
EDGE,single_risk,14,64,64,38,21,5,0.59375,0.328125,0.078125,Design
EDGE,single_risk,7,88,88,4,0,84,0.045454545454545456,0.0,0.9545454545454546,Deployment
EDGE,single_risk,24,36,36,5,0,31,0.1388888888888889,0.0,0.8611111111111112,Deployment
EDGE,single_risk,37,41,41,11,18,12,0.2682926829268293,0.43902439024390244,0.2926829268292683,Training
EDGE,single_risk,12,11,11,5,2,4,0.45454545454545453,0.18181818181818182,0.36363636363636365,Design
EDGE,single_risk,20,26,26,1,7,18,0.038461538461538464,0.2692307692307692,0.6923076923076923,Deployment
EDGE,single_risk,0,24,24,2,19,3,0.08333333333333333,0.7916666666666666,0.125,Training
EDGE,single_risk,38,17,17,9,5,3,0.5294117647058824,0.29411764705882354,0.17647058823529413,Design
EDGE,single_risk,26,16,16,12,0,4,0.75,0.0,0.25,Design
EDGE,single_risk,34,6,6,1,0,5,0.16666666666666666,0.0,0.8333333333333334,Deployment
EDGE,single_risk,25,36,36,5,2,29,0.1388888888888889,0.05555555555555555,0.8055555555555556,Deployment
EDGE,single_risk,35,36,36,2,33,1,0.05555555555555555,0.9166666666666666,0.027777777777777776,Training
EDGE,single_risk,29,23,23,0,22,1,0.0,0.9565217391304348,0.043478260869565216,Training
EDGE,single_risk,31,17,17,3,14,0,0.17647058823529413,0.8235294117647058,0.0,Training
EDGE,single_risk,28,13,13,1,0,12,0.07692307692307693,0.0,0.9230769230769231,Deployment
EDGE,single_risk,23,6,6,0,5,1,0.0,0.8333333333333334,0.16666666666666666,Training
EDGE,monotonic,9,172,172,16,152,4,0.09302325581395349,0.8837209302325582,0.023255813953488372,Training
EDGE,monotonic,37,48,48,37,3,8,0.7708333333333334,0.0625,0.16666666666666666,Design
EDGE,monotonic,13,139,139,7,130,2,0.050359712230215826,0.935251798561151,0.014388489208633094,Training
EDGE,monotonic,10,108,108,39,60,9,0.3611111111111111,0.5555555555555556,0.08333333333333333,Training
EDGE,monotonic,5,110,110,47,59,4,0.42727272727272725,0.5363636363636364,0.03636363636363636,Training
EDGE,monotonic,2,227,227,11,0,216,0.048458149779735685,0.0,0.9515418502202643,Deployment
EDGE,monotonic,14,51,51,41,2,8,0.803921568627451,0.0392156862745098,0.1568627450980392,Design
EDGE,monotonic,15,60,60,40,17,3,0.6666666666666666,0.2833333333333333,0.05,Design
EDGE,monotonic,36,103,103,12,87,4,0.11650485436893204,0.8446601941747572,0.038834951456310676,Training
EDGE,monotonic,3,89,89,86,2,1,0.9662921348314607,0.02247191011235955,0.011235955056179775,Design
EDGE,monotonic,33,61,61,3,5,53,0.04918032786885246,0.08196721311475409,0.8688524590163934,Deployment
EDGE,monotonic,0,168,168,11,0,157,0.06547619047619048,0.0,0.9345238095238095,Deployment
EDGE,monotonic,24,25,25,3,3,19,0.12,0.12,0.76,Deployment
EDGE,monotonic,35,62,62,5,1,56,0.08064516129032258,0.016129032258064516,0.9032258064516129,Deployment
EDGE,monotonic,1,100,100,18,20,62,0.18,0.2,0.62,Deployment
