node_type,edge_config,mode,n_clusters,n_embeddings,n_edge_only,cluster_size_mean,cluster_size_median,cluster_size_std,cluster_size_min,cluster_size_max,silhouette_mean,silhouette_median,silhouette_min,silhouette_max,edge_validation_mean,edge_validation_min,edge_validation_max,n_pathways,path_length_mean,path_length_median
all_concepts,0.9,monotonic,72,12606,16668,225.1071428571429,177.5,215.44283121145656,11,1192,0.3366372585296631,0.3366372585296631,0.2930043935775757,0.3802701234817505,0.8783106857536277,0.0344827586206896,1.0,336092,10.24367435107054,10.0
all_concepts,0.9,both,68,12364,16604,228.96296296296296,178.0,198.04871856327216,12,1167,0.3488297313451767,0.3488297313451767,0.3087754249572754,0.388884037733078,0.8976879046692977,0.0588235294117647,1.0,5939,7.95841050681933,7.0
all_concepts,0.95,unconstrained,66,11884,17136,224.2264150943396,175.0,217.84615841507292,3,1427,0.2658843845129013,0.2658843845129013,0.1985360383987426,0.3332327306270599,0.9884074970185356,0.72,1.0,60139,12.097357787791616,11.0
all_concepts,0.95,single_risk,61,11735,16965,232.3762376237624,187.0,201.63720245913825,13,1045,0.2964912801980972,0.2964912801980972,0.2398995757102966,0.3530829846858978,0.9985459641891038,0.9583333333333334,1.0,3319,6.793612533895752,7.0
all_concepts,0.95,monotonic,62,11485,16668,225.1960784313725,190.0,201.25420659180224,13,1127,0.3141887485980987,0.3141887485980987,0.2695785760879516,0.3587989211082458,0.9983984908826976,0.9659090909090908,1.0,46856,10.725478060440498,11.0
all_concepts,0.95,both,62,11479,16604,225.07843137254903,201.0,175.06663640412222,4,1006,0.3117391616106033,0.3117391616106033,0.2311771214008331,0.3923012018203735,0.99900110755086,0.981651376146789,1.0,3216,6.745957711442786,7.0
problem_analysis,EDGE,unconstrained,40,2531,17136,72.31428571428572,70.5,41.4634237636508,7,197,0.466359481215477,0.466359481215477,0.4311536848545074,0.5015652775764465,1.0,1.0,1.0,3473,6.861790958825223,7.0
problem_analysis,EDGE,single_risk,40,2481,16965,71.91304347826087,67.0,39.97417250611743,5,190,0.4434771835803985,0.4434771835803985,0.3969951272010803,0.4899592399597168,1.0,1.0,1.0,3306,6.787356321839081,7.0
problem_analysis,EDGE,monotonic,40,2430,16668,70.43478260869566,65.0,40.47202585893933,3,171,0.4531171321868896,0.4531171321868896,0.4158171415328979,0.4904171228408813,1.0,1.0,1.0,3301,6.788245986064829,7.0
problem_analysis,EDGE,both,40,2430,16604,68.45070422535211,60.0,40.971920557278665,3,171,0.4495115727186203,0.4495115727186203,0.4086060225963592,0.4904171228408813,1.0,1.0,1.0,3203,6.739306899781455,7.0
problem_analysis,0.8,unconstrained,61,7288,17136,144.31683168316832,112.0,120.83381359856872,8,633,0.486846387386322,0.486846387386322,0.4499247074127197,0.5237680673599243,0.3231051650503831,0.0,0.8111111111111111,10659319,12.03663892599518,11.0
problem_analysis,0.8,single_risk,59,5639,16965,113.91919191919192,89.0,89.97302365267932,2,511,0.5249010026454926,0.5249010026454926,0.514025092124939,0.5357769131660461,0.4593177361279533,0.0,1.0,440875,10.57770343067763,10.0
problem_analysis,0.8,monotonic,54,5973,16668,127.08510638297872,107.0,93.03324269456202,3,519,0.5186579823493958,0.5186579823493958,0.4825278520584106,0.5547881126403809,0.3977329286613772,0.0,1.0,4257205,9.737096052456952,10.0
problem_analysis,0.8,both,52,5289,16604,114.97826086956522,99.0,80.83450326880568,1,375,0.5089161396026611,0.5089161396026611,0.447613775730133,0.5702185034751892,0.4433954080183397,0.0,1.0,216303,8.36536247763554,8.0
problem_analysis,0.85,unconstrained,58,5698,17136,116.28571428571428,107.0,84.37513416467034,9,500,0.4999673813581466,0.4999673813581466,0.415589302778244,0.5843454599380493,0.4421560669839996,0.0,0.9375,5688230,13.599068075657982,13.0
problem_analysis,0.85,single_risk,43,4322,16965,104.144578313253,94.0,62.590875144290834,17,292,0.5378205329179764,0.5378205329179764,0.4815312325954437,0.594109833240509,0.5734911271691753,0.0491803278688524,0.9761904761904762,106005,11.21277298240649,10.0
problem_analysis,0.85,monotonic,47,4509,16668,103.65517241379312,92.0,70.73226638337621,3,397,0.5249892175197601,0.5249892175197601,0.4911181330680847,0.5588603019714355,0.5310349912003992,0.0,0.9736842105263158,1581435,10.148250165198064,10.0
problem_analysis,0.85,both,43,4050,16604,97.59036144578312,96.0,69.34061834798855,5,375,0.5204304903745651,0.5204304903745651,0.4895993173122406,0.5512616634368896,0.5902527717872701,0.0396039603960396,1.0,55619,8.661824196767292,9.0
problem_analysis,0.9,unconstrained,40,3483,17136,91.65789473684212,88.0,55.1933330812744,7,295,0.4694752246141433,0.4694752246141433,0.4291516244411468,0.5097988247871399,0.710394343577031,0.0,1.0,1054527,14.317058738183093,13.0
problem_analysis,0.9,single_risk,40,2923,16965,76.92105263157895,73.5,45.47114850386328,5,194,0.4867147952318191,0.4867147952318191,0.4421820342540741,0.5312475562095642,0.8397587835397233,0.0,1.0,7103,9.061804871181192,8.0
problem_analysis,0.9,monotonic,40,2948,16668,80.76712328767124,80.0,48.39690937374004,8,233,0.48230741918087,0.48230741918087,0.4224484860897064,0.5421663522720337,0.8042855623974084,0.0,1.0,336092,10.24367435107054,10.0
problem_analysis,0.9,both,40,2817,16604,76.13513513513513,76.5,40.023413527423465,6,178,0.4822638183832168,0.4822638183832168,0.4354983866214752,0.5290292501449585,0.8697681762761749,0.1267605633802817,1.0,5939,7.95841050681933,7.0
problem_analysis,0.95,unconstrained,40,2594,17136,73.07042253521126,72.0,44.75766483847537,5,203,0.4413648843765259,0.4413648843765259,0.4119294285774231,0.4708003401756286,0.9707671576313556,0.4705882352941176,1.0,60139,12.097357787791616,11.0
problem_analysis,0.95,single_risk,40,2487,16965,70.05633802816901,62.0,42.4552414932707,3,182,0.4593249708414078,0.4593249708414078,0.4372594952583313,0.4813904464244842,0.9973683980102156,0.9411764705882352,1.0,3319,6.793612533895752,7.0
problem_analysis,0.95,monotonic,40,2438,16668,67.72222222222223,60.0,40.92378492807705,9,190,0.4397119879722595,0.4397119879722595,0.3846801519393921,0.4947438240051269,0.9977138821591964,0.9565217391304348,1.0,46856,10.725478060440498,11.0
problem_analysis,0.95,both,40,2436,16604,69.6,66.0,43.30107224010575,3,188,0.4735385030508041,0.4735385030508041,0.4588384628295898,0.4882385432720184,0.9984398336618586,0.9819277108433736,1.0,3216,6.745957711442786,7.0
theoretical_insight,EDGE,unconstrained,40,2247,17136,66.08823529411765,68.0,39.08163977463136,2,173,0.4077548384666443,0.4077548384666443,0.3965646028518677,0.4189450740814209,1.0,1.0,1.0,3473,6.861790958825223,7.0
theoretical_insight,EDGE,single_risk,40,2242,16965,64.05714285714286,57.0,40.63351386453788,2,203,0.3929056972265243,0.3929056972265243,0.3651298880577087,0.4206815063953399,1.0,1.0,1.0,3306,6.787356321839081,7.0
theoretical_insight,EDGE,monotonic,40,2194,16668,63.594202898550726,60.0,38.72920436494198,3,169,0.3978018909692764,0.3978018909692764,0.3767310678958893,0.4188727140426636,1.0,1.0,1.0,3301,6.788245986064829,7.0
theoretical_insight,EDGE,both,40,2194,16604,65.49253731343283,63.0,40.86284782498658,3,166,0.3826689720153808,0.3826689720153808,0.3464652299880981,0.4188727140426636,1.0,1.0,1.0,3203,6.739306899781455,7.0
theoretical_insight,0.8,unconstrained,50,4462,17136,99.15555555555557,97.0,71.41411486862478,7,362,0.4786590486764908,0.4786590486764908,0.4339494407176971,0.5233686566352844,0.4599726534359108,0.0,1.0,10659319,12.03663892599518,11.0
theoretical_insight,0.8,single_risk,51,4097,16965,90.04395604395604,76.0,60.98061520273112,8,251,0.472813218832016,0.472813218832016,0.4423299431800842,0.5032964944839478,0.5137262541873682,0.032258064516129,1.0,440875,10.57770343067763,10.0
theoretical_insight,0.8,monotonic,44,3814,16668,90.8095238095238,77.0,63.32991397858636,8,240,0.4658544063568115,0.4658544063568115,0.4278298020362854,0.5038790106773376,0.5135363926332119,0.0357142857142857,0.9226519337016574,4257205,9.737096052456952,10.0
theoretical_insight,0.8,both,44,3582,16604,85.28571428571429,74.5,66.75605401983643,8,286,0.4179163426160812,0.4179163426160812,0.3182379305362701,0.5175947546958923,0.555374572923712,0.04,0.9523809523809524,216303,8.36536247763554,8.0
theoretical_insight,0.85,unconstrained,45,3527,17136,82.98823529411764,74.0,60.390200630399725,9,287,0.4327280819416046,0.4327280819416046,0.3666483461856842,0.498807817697525,0.5885613932131952,0.0277777777777777,0.9575757575757576,5688230,13.599068075657982,13.0
theoretical_insight,0.85,single_risk,40,3196,16965,81.94871794871794,69.0,56.376003586700136,7,299,0.4166427701711654,0.4166427701711654,0.3574919104576111,0.4757936298847198,0.6594008435746607,0.032258064516129,1.0,106005,11.21277298240649,10.0
theoretical_insight,0.85,monotonic,40,3016,16668,77.33333333333333,70.0,51.40579301553042,5,289,0.4303925037384033,0.4303925037384033,0.3598052263259887,0.5009797811508179,0.6571677276857538,0.037037037037037,1.0,1581435,10.148250165198064,10.0
theoretical_insight,0.85,both,40,2869,16604,76.50666666666666,67.0,49.88343033735975,2,209,0.4287326782941818,0.4287326782941818,0.3649477660655975,0.4925175905227661,0.7198638625940292,0.0384615384615384,1.0,55619,8.661824196767292,9.0
theoretical_insight,0.9,unconstrained,40,2562,17136,71.16666666666667,67.5,47.206402578934615,1,239,0.4051547646522522,0.4051547646522522,0.3634766638278961,0.4468328654766083,0.8478471418416904,0.0384615384615384,1.0,1054527,14.317058738183093,13.0
theoretical_insight,0.9,single_risk,40,2430,16965,68.45070422535211,60.0,42.03914632158614,6,205,0.3867331594228744,0.3867331594228744,0.3401534855365753,0.4333128333091736,0.8986569713631294,0.0526315789473684,1.0,7103,9.061804871181192,8.0
theoretical_insight,0.9,monotonic,40,2377,16668,70.95522388059702,63.0,44.43658330022279,4,206,0.4122436791658401,0.4122436791658401,0.3590722978115082,0.4654150605201721,0.8790865376140435,0.0476190476190476,1.0,336092,10.24367435107054,10.0
theoretical_insight,0.9,both,40,2337,16604,66.77142857142857,57.0,47.02891858924112,3,225,0.4291419684886932,0.4291419684886932,0.400337815284729,0.4579461216926574,0.9024780608233218,0.0666666666666666,1.0,5939,7.95841050681933,7.0
theoretical_insight,0.95,unconstrained,40,2264,17136,68.60606060606061,66.5,42.060158499059696,2,166,0.3742752075195312,0.3742752075195312,0.3228535056114197,0.4256969094276428,0.9934799378727512,0.9272727272727272,1.0,60139,12.097357787791616,11.0
theoretical_insight,0.95,single_risk,40,2244,16965,65.04347826086956,58.0,40.91611594987286,3,147,0.3913126587867737,0.3913126587867737,0.3682928085327148,0.4143325090408325,0.9992984122826052,0.9863945578231292,1.0,3319,6.793612533895752,7.0
theoretical_insight,0.95,monotonic,40,2197,16668,63.68115942028985,62.0,41.48109146804581,2,151,0.3679838329553604,0.3679838329553604,0.3476223945617676,0.3883452713489532,0.9986238810979974,0.9642857142857144,1.0,46856,10.725478060440498,11.0
theoretical_insight,0.95,both,40,2196,16604,66.54545454545455,61.0,43.10001821632949,3,172,0.3885068595409393,0.3885068595409393,0.3644051253795624,0.4126085937023163,0.999017431142952,0.979591836734694,1.0,3216,6.745957711442786,7.0
design_rationale,EDGE,unconstrained,40,2264,17136,65.6231884057971,59.0,46.70291597800464,6,215,0.3605238795280456,0.3605238795280456,0.3224534690380096,0.3985942900180816,1.0,1.0,1.0,3473,6.861790958825223,7.0
design_rationale,EDGE,single_risk,40,2262,16965,65.56521739130434,58.0,42.75358388600503,6,219,0.3657724559307098,0.3657724559307098,0.3122202754020691,0.4193246364593506,1.0,1.0,1.0,3306,6.787356321839081,7.0
design_rationale,EDGE,monotonic,40,2217,16668,65.20588235294117,60.5,41.58038240194577,6,178,0.4008439183235168,0.4008439183235168,0.3700832724571228,0.4316045641899109,1.0,1.0,1.0,3301,6.788245986064829,7.0
design_rationale,EDGE,both,40,2217,16604,64.26086956521739,59.0,42.22735296433215,6,207,0.3978550136089325,0.3978550136089325,0.3641054630279541,0.4316045641899109,1.0,1.0,1.0,3203,6.739306899781455,7.0
design_rationale,0.8,unconstrained,43,4471,17136,107.73493975903614,86.0,86.53741921152695,1,395,0.4727051556110382,0.4727051556110382,0.4397727847099304,0.505637526512146,0.4936724536351974,0.1046511627906976,1.0,10659319,12.03663892599518,11.0
design_rationale,0.8,single_risk,42,4297,16965,104.8048780487805,84.0,83.77385921873102,2,393,0.4719841778278351,0.4719841778278351,0.4180464148521423,0.5259219408035278,0.5000393525965381,0.0909090909090909,1.0,440875,10.57770343067763,10.0
design_rationale,0.8,monotonic,41,3823,16668,94.39506172839506,77.0,65.98010905135189,9,292,0.4532527923583984,0.4532527923583984,0.4076149761676788,0.498890608549118,0.5340200383289672,0.0,1.0,4257205,9.737096052456952,10.0
design_rationale,0.8,both,40,3678,16604,94.3076923076923,75.5,75.84740208053842,4,334,0.3848444819450378,0.3848444819450378,0.352641761302948,0.4170472025871277,0.5575638350286397,0.0,1.0,216303,8.36536247763554,8.0
design_rationale,0.85,unconstrained,40,3459,17136,86.475,69.0,60.10698274743127,8,241,0.4623227417469024,0.4623227417469024,0.393338680267334,0.531306803226471,0.5952795847556298,0.1363636363636363,1.0,5688230,13.599068075657982,13.0
design_rationale,0.85,single_risk,41,3296,16965,81.38271604938272,70.0,60.08914527830627,2,262,0.4439111351966858,0.4439111351966858,0.3930063843727112,0.4948158860206604,0.6305505009951449,0.15,1.0,106005,11.21277298240649,10.0
design_rationale,0.85,monotonic,40,2990,16668,78.6842105263158,63.0,55.428761896955294,6,224,0.4422543048858642,0.4422543048858642,0.3870858550071716,0.4974227547645569,0.6827942551667266,0.1666666666666666,1.0,1581435,10.148250165198064,10.0
design_rationale,0.85,both,40,2893,16604,82.65714285714286,67.0,56.20774875769499,3,236,0.4103128015995025,0.4103128015995025,0.3397859036922455,0.4808396995067596,0.7269072298524885,0.0,1.0,55619,8.661824196767292,9.0
design_rationale,0.9,unconstrained,40,2497,17136,71.34285714285714,57.0,49.27412700227914,1,221,0.4103822708129883,0.4103822708129883,0.3969937264919281,0.4237708151340484,0.9026801998124908,0.3191489361702128,1.0,1054527,14.317058738183093,13.0
design_rationale,0.9,single_risk,40,2429,16965,68.4225352112676,62.0,41.3690576250411,5,180,0.367958515882492,0.367958515882492,0.3115693628787994,0.4243476688861847,0.9287202511421928,0.3714285714285714,1.0,7103,9.061804871181192,8.0
design_rationale,0.9,monotonic,40,2368,16668,66.70422535211267,51.0,45.554917907144585,8,197,0.3970120698213577,0.3970120698213577,0.3406913876533508,0.4533327519893646,0.920516694690054,0.217391304347826,1.0,336092,10.24367435107054,10.0
design_rationale,0.9,both,40,2334,16604,63.08108108108108,53.0,46.12461286932148,3,218,0.3820559829473495,0.3820559829473495,0.3338174223899841,0.4302945435047149,0.9562901417299652,0.7,1.0,5939,7.95841050681933,7.0
design_rationale,0.95,unconstrained,40,2274,17136,66.88235294117646,65.5,40.05053036726183,3,158,0.3501714020967483,0.3501714020967483,0.3061533570289612,0.3941894471645355,0.9966739495603136,0.9743589743589745,1.0,60139,12.097357787791616,11.0
design_rationale,0.95,single_risk,40,2263,16965,67.55223880597015,58.0,46.61441823647552,3,184,0.3631477504968643,0.3631477504968643,0.329618752002716,0.3966767489910126,0.999410594932983,0.9848484848484848,1.0,3319,6.793612533895752,7.0
design_rationale,0.95,monotonic,40,2219,16668,64.31884057971014,53.0,46.094575981210944,6,173,0.3581405878067016,0.3581405878067016,0.3014431893825531,0.4148379862308502,0.9986753891667028,0.9666666666666668,1.0,46856,10.725478060440498,11.0
design_rationale,0.95,both,40,2218,16604,64.28985507246377,55.0,46.45493420050446,6,205,0.3660895079374313,0.3660895079374313,0.3345474004745483,0.3976316154003143,0.998754456305042,0.9473684210526316,1.0,3216,6.745957711442786,7.0
implementation_mechanism,EDGE,unconstrained,40,2387,17136,67.2394366197183,63.0,39.99417731871619,3,196,0.4250656217336654,0.4250656217336654,0.4025135338306427,0.4476177096366882,1.0,1.0,1.0,3473,6.861790958825223,7.0
implementation_mechanism,EDGE,single_risk,40,2385,16965,65.34246575342466,60.0,37.69677838714305,2,204,0.3993549048900604,0.3993549048900604,0.3504537940025329,0.4482560157775879,1.0,1.0,1.0,3306,6.787356321839081,7.0
implementation_mechanism,EDGE,monotonic,40,2329,16668,65.6056338028169,61.0,40.35877092771133,7,183,0.4052297472953796,0.4052297472953796,0.3641444444656372,0.446315050125122,1.0,1.0,1.0,3301,6.788245986064829,7.0
implementation_mechanism,EDGE,both,40,2329,16604,64.69444444444444,62.0,39.388252228046966,7,168,0.3955676853656769,0.3955676853656769,0.3448203206062317,0.446315050125122,1.0,1.0,1.0,3203,6.739306899781455,7.0
implementation_mechanism,0.8,unconstrained,52,4520,17136,98.2608695652174,75.0,77.36655686395116,10,315,0.4748826324939728,0.4748826324939728,0.4305898547172546,0.5191754102706909,0.4876210548694267,0.0555555555555555,1.0,10659319,12.03663892599518,11.0
