edge_config,mode,node_type,cluster_id,year_min,year_max,year_range,year_mean,year_median,n_nodes_with_year,cluster_size
0.8,monotonic,problem_analysis,15,2013,2023,10,2019.0,2019.0,107,107
0.8,monotonic,problem_analysis,0,2010,2023,13,2019.840625,2020.0,320,320
0.8,monotonic,problem_analysis,29,2006,2023,17,2020.4234234234234,2021.0,111,111
0.8,monotonic,problem_analysis,18,2014,2023,9,2020.7113402061855,2021.0,97,97
0.8,monotonic,problem_analysis,9,2015,2023,8,2020.291304347826,2021.0,230,230
0.8,monotonic,problem_analysis,3,2008,2023,15,2019.9375,2021.0,80,80
0.8,monotonic,problem_analysis,21,2019,2023,4,2021.2702702702702,2021.0,37,37
0.8,monotonic,problem_analysis,19,2013,2022,9,2018.0,2020.0,5,5
0.8,monotonic,problem_analysis,38,2008,2023,15,2018.8783783783783,2020.5,74,74
0.8,monotonic,problem_analysis,5,2008,2023,15,2019.2916666666667,2021.0,24,24
0.8,monotonic,problem_analysis,27,2016,2023,7,2022.142857142857,2023.0,98,98
0.8,monotonic,problem_analysis,26,2006,2023,17,2018.6913580246915,2020.0,81,81
0.8,monotonic,problem_analysis,32,2018,2023,5,2020.6470588235295,2021.0,17,17
0.8,monotonic,problem_analysis,39,2022,2023,1,2022.4444444444443,2022.0,9,9
0.8,monotonic,problem_analysis,36,2019,2022,3,2021.0,2022.0,3,3
0.8,monotonic,theoretical_insight,13,2002,2022,20,2018.4166666666667,2019.0,48,48
0.8,monotonic,theoretical_insight,10,2003,2023,20,2017.1960784313726,2017.5,102,102
0.8,monotonic,theoretical_insight,22,2013,2023,10,2020.6470588235295,2022.0,34,34
0.8,monotonic,theoretical_insight,29,1998,2023,25,2020.0263157894738,2021.0,190,190
0.8,monotonic,theoretical_insight,26,2012,2023,11,2020.7173913043478,2022.0,138,139
0.8,monotonic,theoretical_insight,19,2009,2023,14,2018.92,2020.0,25,25
0.8,monotonic,theoretical_insight,16,2006,2023,17,2019.5,2020.0,176,176
0.8,monotonic,theoretical_insight,15,2011,2023,12,2020.2727272727273,2022.0,165,166
0.8,monotonic,theoretical_insight,1,2007,2023,16,2018.591836734694,2019.0,147,147
0.8,monotonic,theoretical_insight,12,2006,2023,17,2020.9598214285713,2022.0,224,225
0.8,monotonic,theoretical_insight,14,2010,2023,13,2020.7766497461928,2022.0,197,197
0.8,monotonic,theoretical_insight,20,2006,2023,17,2020.1767955801106,2021.0,181,181
0.8,monotonic,theoretical_insight,8,2010,2023,13,2019.8144329896907,2020.0,194,194
0.8,monotonic,theoretical_insight,6,2010,2023,13,2019.8779342723005,2020.0,213,213
0.8,monotonic,theoretical_insight,5,2006,2023,17,2020.0806451612902,2021.0,62,62
0.8,monotonic,theoretical_insight,18,2013,2023,10,2021.379746835443,2022.0,237,240
0.8,monotonic,theoretical_insight,4,2006,2023,17,2019.6842105263158,2020.0,152,152
0.8,monotonic,theoretical_insight,9,2012,2023,11,2022.1666666666667,2023.0,78,78
0.8,monotonic,theoretical_insight,39,2014,2023,9,2020.076923076923,2021.0,26,26
0.8,monotonic,theoretical_insight,0,2010,2023,13,2019.8846153846155,2020.0,130,130
0.8,monotonic,theoretical_insight,34,2008,2023,15,2021.0857142857142,2022.0,140,144
0.8,monotonic,theoretical_insight,35,2008,2023,15,2019.3972602739725,2021.0,73,73
0.8,monotonic,theoretical_insight,24,2020,2023,3,2022.0,2022.0,8,8
0.8,monotonic,theoretical_insight,17,2015,2023,8,2021.4901960784314,2022.0,102,102
0.8,monotonic,theoretical_insight,32,2017,2023,6,2021.9777777777779,2023.0,45,48
0.8,monotonic,theoretical_insight,7,2011,2023,12,2020.7019867549668,2022.0,151,152
0.8,monotonic,theoretical_insight,31,2012,2023,11,2019.6785714285713,2020.5,28,28
0.8,monotonic,theoretical_insight,27,2013,2023,10,2021.15,2022.0,60,60
0.8,monotonic,theoretical_insight,30,2017,2023,6,2021.6896551724137,2023.0,29,29
0.8,monotonic,theoretical_insight,3,2013,2023,10,2019.9375,2021.0,48,48
0.8,monotonic,theoretical_insight,21,2014,2023,9,2021.2875,2022.0,80,80
0.8,monotonic,theoretical_insight,2,2018,2023,5,2021.157894736842,2022.0,19,19
0.8,monotonic,theoretical_insight,38,2016,2022,6,2018.2727272727273,2017.0,11,11
0.8,monotonic,theoretical_insight,25,2013,2023,10,2021.4607843137255,2022.0,102,102
0.8,monotonic,theoretical_insight,33,2014,2023,9,2020.0416666666667,2022.0,24,24
0.8,monotonic,theoretical_insight,37,2005,2023,18,2020.2702702702702,2022.0,74,74
0.8,monotonic,theoretical_insight,28,2014,2023,9,2020.9375,2021.5,16,16
0.8,monotonic,theoretical_insight,36,2012,2023,11,2018.9642857142858,2019.5,28,28
0.8,monotonic,theoretical_insight,11,2012,2023,11,2019.9565217391305,2021.0,23,23
0.8,monotonic,theoretical_insight,23,2017,2023,6,2020.2,2020.0,20,20
0.8,monotonic,design_rationale,10,2006,2023,17,2019.6089108910892,2020.0,202,202
0.8,monotonic,design_rationale,37,2014,2023,9,2019.6,2020.0,30,30
0.8,monotonic,design_rationale,9,2003,2023,20,2018.7586206896551,2019.0,58,58
0.8,monotonic,design_rationale,15,2006,2023,17,2020.7826086956522,2022.0,230,230
0.8,monotonic,design_rationale,36,2006,2023,17,2020.7293577981652,2021.0,218,218
0.8,monotonic,design_rationale,19,2012,2023,11,2019.9372197309417,2020.0,223,224
0.8,monotonic,design_rationale,30,2006,2023,17,2019.4647887323943,2020.0,142,142
0.8,monotonic,design_rationale,20,2008,2023,15,2020.4460093896714,2022.0,213,213
0.8,monotonic,design_rationale,4,2008,2023,15,2019.7285714285715,2020.0,70,70
0.8,monotonic,design_rationale,38,2008,2023,15,2019.2,2019.0,45,45
0.8,monotonic,design_rationale,5,2009,2023,14,2018.688524590164,2019.0,183,183
0.8,monotonic,design_rationale,3,2014,2023,9,2021.7226890756303,2023.0,119,119
0.8,monotonic,design_rationale,16,2010,2023,13,2020.2699115044247,2022.0,226,228
0.8,monotonic,design_rationale,8,2012,2023,11,2019.8531468531469,2021.0,143,143
0.8,monotonic,design_rationale,39,2015,2023,8,2021.5,2022.0,52,52
0.8,monotonic,design_rationale,0,2005,2023,18,2018.7586206896551,2020.0,58,58
0.8,monotonic,design_rationale,31,2002,2023,21,2018.7857142857142,2021.5,14,14
0.8,monotonic,design_rationale,32,2012,2023,11,2021.0899653979238,2022.0,289,292
0.8,monotonic,design_rationale,21,2013,2023,10,2022.1764705882354,2023.0,68,68
0.8,monotonic,design_rationale,6,2018,2023,5,2021.9538461538461,2023.0,65,65
0.8,monotonic,design_rationale,29,2017,2023,6,2021.8979591836735,2022.0,49,49
0.8,monotonic,design_rationale,18,2012,2023,11,2019.8333333333333,2020.0,108,108
0.8,monotonic,design_rationale,35,2013,2023,10,2020.2564102564102,2022.0,39,39
0.8,monotonic,design_rationale,27,2016,2023,7,2021.1029411764705,2022.0,68,68
0.8,monotonic,design_rationale,7,2011,2023,12,2018.5702479338843,2019.0,121,121
0.8,monotonic,design_rationale,11,2009,2023,14,2020.3265306122448,2021.0,98,98
0.8,monotonic,design_rationale,34,2012,2023,11,2020.1097560975609,2022.0,82,82
0.8,monotonic,design_rationale,28,2012,2023,11,2021.654761904762,2022.0,84,89
0.8,monotonic,design_rationale,2,2016,2023,7,2021.051282051282,2021.0,117,118
0.8,monotonic,design_rationale,1,2007,2023,16,2019.6415094339623,2022.0,106,106
0.8,monotonic,design_rationale,14,2010,2023,13,2019.2692307692307,2020.0,52,52
0.8,monotonic,design_rationale,33,2017,2023,6,2021.4242424242425,2021.0,33,33
0.8,monotonic,design_rationale,23,2018,2022,4,2020.3703703703704,2021.0,27,27
0.8,monotonic,design_rationale,26,2008,2023,15,2020.7118644067796,2022.0,59,59
0.8,monotonic,design_rationale,17,2013,2023,10,2020.655172413793,2022.0,29,29
0.8,monotonic,design_rationale,24,2013,2023,10,2021.0,2021.0,29,29
0.8,monotonic,design_rationale,25,2017,2023,6,2019.8823529411766,2020.0,17,17
0.8,monotonic,design_rationale,12,2018,2023,5,2021.7777777777778,2023.0,9,9
0.8,monotonic,design_rationale,13,2018,2023,5,2021.4285714285713,2021.5,14,14
0.8,monotonic,design_rationale,22,2003,2023,20,2020.3181818181818,2022.0,22,22
0.8,monotonic,implementation_mechanism,12,2012,2023,11,2019.8343195266273,2020.0,169,169
0.8,monotonic,implementation_mechanism,18,2003,2023,20,2018.7603305785124,2019.0,121,121
0.8,monotonic,implementation_mechanism,37,2013,2022,9,2020.0,2020.0,37,37
0.8,monotonic,implementation_mechanism,30,2003,2023,20,2017.2277227722773,2017.0,101,101
0.8,monotonic,implementation_mechanism,23,2006,2023,17,2021.017543859649,2022.0,171,171
0.8,monotonic,implementation_mechanism,17,2009,2023,14,2021.2808510638297,2022.0,235,236
0.8,monotonic,implementation_mechanism,3,2011,2023,12,2020.1165644171779,2022.0,163,163
0.8,monotonic,implementation_mechanism,4,2015,2023,8,2020.9583333333333,2022.0,144,144
0.8,monotonic,implementation_mechanism,8,2012,2023,11,2019.702857142857,2020.0,175,175
0.8,monotonic,implementation_mechanism,32,2013,2022,9,2018.888888888889,2020.0,9,9
0.8,monotonic,implementation_mechanism,19,2006,2023,17,2019.3267326732673,2019.0,101,101
0.8,monotonic,implementation_mechanism,38,2008,2023,15,2018.9107142857142,2022.0,56,56
