edge_config,mode,node_type,agg_silhouette,agg_n_clusters,louvain_silhouette,louvain_n_clusters,hdbscan_silhouette,hdbscan_n_clusters,hdbscan_noise_pct,sil_diff_louvain_minus_agg,sil_diff_hdbscan_minus_agg
0.85,unconstrained,problem_analysis,0.4999673813581466,40,0.02492699585855007,58,0.12156251072883606,2,59.25,-0.47504038549959654,-0.37840487062931055
0.85,unconstrained,theoretical_insight,0.4327280819416046,40,-0.012987439520657063,45,0.3623351752758026,5,87.5,-0.4457155214622617,-0.070392906665802
0.85,unconstrained,design_rationale,0.4623227417469024,40,-0.005852824542671442,40,0.22312775254249573,2,81.25,-0.46817556628957385,-0.23919498920440668
0.85,unconstrained,implementation_mechanism,0.4870753884315491,40,0.03355749696493149,40,0.32368820905685425,4,83.25,-0.4535178914666176,-0.16338717937469482
0.85,unconstrained,validation_evidence,0.4338901937007904,40,0.027290286496281624,35,0.27951017022132874,4,88.5,-0.4065999072045088,-0.15438002347946167
0.85,single_risk,risk,0.5052229464054108,40,-0.010078012943267822,46,0.45809462666511536,5,74.0,-0.5153009593486786,-0.04712831974029541
0.85,single_risk,intervention,0.4737256020307541,40,0.028243210166692734,49,0.3174399733543396,3,68.25,-0.44548239186406136,-0.1562856286764145
0.85,single_risk,all_concepts,0.3674831390380859,40,-0.03578827530145645,100,0.1982364058494568,2,77.0,-0.40327141433954233,-0.1692467331886291
0.85,single_risk,problem_analysis,0.5378205329179764,40,0.021271362900733948,43,0.17177504301071167,2,49.75,-0.5165491700172424,-0.3660454899072647
0.85,single_risk,theoretical_insight,0.4166427701711654,40,0.0028063857462257147,38,0.3315138518810272,4,89.0,-0.4138363844249397,-0.08512891829013819
0.85,single_risk,design_rationale,0.4439111351966858,40,0.0026924549601972103,41,0.3969225287437439,3,92.0,-0.4412186802364886,-0.046988606452941895
0.85,single_risk,implementation_mechanism,0.4913368672132492,40,0.034411631524562836,41,0.3187170624732971,5,77.75,-0.45692523568868637,-0.1726198047399521
0.85,single_risk,validation_evidence,0.4436255842447281,40,0.014991717413067818,39,0.1819469928741455,3,91.75,-0.42863386683166027,-0.2616785913705826
0.85,monotonic,risk,0.5951423048973083,40,0.04636267572641373,66,0.21367497742176056,2,23.75,-0.5487796291708946,-0.3814673274755478
0.85,monotonic,intervention,0.4957311153411865,40,0.02129094861447811,44,0.36468249559402466,4,74.25,-0.4744401667267084,-0.13104861974716187
0.85,monotonic,all_concepts,0.3837045729160309,40,-0.01156565174460411,87,0.3069309890270233,3,87.0,-0.395270224660635,-0.07677358388900757
0.85,monotonic,problem_analysis,0.5249892175197601,40,0.03304758295416832,47,0.2083096206188202,5,66.5,-0.4919416345655918,-0.31667959690093994
0.85,monotonic,theoretical_insight,0.4303925037384033,40,-0.0011594812385737896,38,0.28321102261543274,5,83.25,-0.4315519849769771,-0.14718148112297058
0.85,monotonic,design_rationale,0.4422543048858642,40,0.0012916679261252284,36,0.2975480556488037,3,81.5,-0.440962636959739,-0.1447062492370605
