risk_cid,interv_cid,key,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost,c2_boost
34.0,4.0,34_4,1,79,336,78,257
38,15,38_15,0,14,331,14,317
25,25,25_25,0,2,326,2,324
38,26,38_26,0,8,323,8,315
5,8,5_8,0,4,323,4,319
16,0,16_0,0,3,323,3,320
18,11,18_11,0,30,323,30,293
15.0,15.0,15_15,22,41,322,19,281
22.0,10.0,22_10,3,36,320,33,284
15.0,10.0,15_10,1,21,318,20,297
12,32,12_32,0,30,317,30,287
18,24,18_24,0,61,317,61,256
35,15,35_15,0,45,316,45,271
7.0,10.0,7_10,2,25,314,23,289
16.0,18.0,16_18,2,60,314,58,254
19.0,11.0,19_11,1,41,313,40,272
35,38,35_38,0,9,312,9,303
38,39,38_39,0,28,312,28,284
2.0,1.0,2_1,2,62,312,60,250
11,24,11_24,0,9,312,9,303
15.0,38.0,15_38,1,4,311,3,307
19.0,6.0,19_6,1,36,310,35,274
1,32,1_32,0,36,309,36,273
7,26,7_26,0,5,308,5,303
15.0,26.0,15_26,2,13,306,11,293
21,0,21_0,0,3,305,3,302
16.0,25.0,16_25,5,14,300,9,286
2,32,2_32,0,31,300,31,269
0.0,4.0,0_4,1,49,297,48,248
12.0,1.0,12_1,1,19,295,18,276
1.0,1.0,1_1,5,45,293,40,248
24.0,5.0,24_5,2,40,291,38,251
6.0,19.0,6_19,8,59,290,51,231
21.0,18.0,21_18,2,79,288,77,209
10,13,10_13,0,2,285,2,283
17,11,17_11,0,19,279,19,260
9.0,19.0,9_19,2,66,277,64,211
9.0,23.0,9_23,3,44,274,41,230
35.0,1.0,35_1,1,53,272,52,219
7,32,7_32,0,34,270,34,236
25,23,25_23,0,6,269,6,263
20.0,1.0,20_1,2,65,269,63,204
4,39,4_39,0,3,266,3,263
18,38,18_38,0,4,265,4,261
20,32,20_32,0,38,264,38,226
17,24,17_24,0,25,263,25,238
25,0,25_0,0,0,263,0,263
34,11,34_11,0,65,262,65,197
11,6,11_6,0,6,260,6,254
4,38,4_38,0,2,260,2,258
22.0,39.0,22_39,1,35,259,34,224
21,17,21_17,0,72,258,72,186
7,1,7_1,0,9,255,9,246
21,25,21_25,0,65,254,65,189
4.0,15.0,4_15,1,21,253,20,232
